material_id,formula,formation_energy_per_atom
mp-771698,LaAlO3,-3.6653477362499993
mp-775763,AlBiO3,-2.475551670500001
mp-776172,AlCuO3,-2.055902871
mp-777738,Al(HO)3,-2.02224892625
mp-780411,LaAlO3,-3.629298000333334
mp-780422,LaAlO3,-3.6866563066666673
mp-966582,CaAlH5,-0.37470763410714203
mp-9680,Na3AlTe3,-0.9806020482142861
mp-9682,Na3AlSe3,-1.288684136026784
mp-10163,NaAlTe2,-0.823727190000003
mp-10165,KAlTe2,-0.9589357946875011
mp-10166,NaAlSe2,-1.20822018078125
mp-1019729,Eu3AlO5,-3.325880598333335
mp-1080080,LaAlO3,-3.722067564000001
mp-1102001,AlNF4,-1.693485036666667
mp-1197328,AlNF4,-1.920443802666667
mp-1210208,Nd6AlFe13,-0.026467288749998003
mp-1211934,La6AlFe13,-0.019884747
mp-13997,RbAlF4,-3.637255926416667
mp-14866,CsAlF4,-3.626374393638887
mp-24083,Th2AlH4,-0.534567224591841
mp-4096,CeAlO3,-3.614738332
mp-557233,AlTlF4,-3.250742020833333
mp-866492,Cs9AlO4,-1.354965065492612
mp-9579,AlTlSe2,-0.8912764307812501
mp-1210113,NaAlH2,0.11298150270833202
mp-1210172,NaAlH2,0.065200545208332
mp-1213693,CsAlH2,0.24447073437500103
mp-1246066,ScAlN2,-1.6185872750000012
mp-1180795,KAlSi2,0.0019767992351970003
mp-530714,Ba14AlSb11,-1.111051576442307
mp-567799,Ca14AlSb11,-1.075019589999998
mp-726107,Al(SiO3)2,-3.006231220277778
mp-1193181,AlP2O11,-1.299816367448979
mp-680394,Ca3AlCd17,-0.15114191059523602
mp-1101169,Y3AlO6,-3.790336349499999
mp-1178549,AlVO3,-2.96073348
mp-1178576,AlCoO3,-2.309915378999999
mp-1178577,AlFeO3,-2.534268328
mp-1178579,AlCuO3,-2.029827841999999
mp-31096,Li3AlH6,-0.355517939749999
mp-555941,AlPO4,-3.106165059107142
mp-557604,AlPO4,-3.112951825218251
mp-676512,Na3AlF6,-3.390414403
mp-756742,Lu3AlO6,-3.936922857
mp-774520,TiAlO3,-3.298947951666666
mp-1078304,Ca2AlPd2,-0.7852274809999981
mp-1078362,Ca2AlPt2,-1.092063576999999
mp-1180547,LiAlH4,-0.20836358027777602
mp-1183009,Al(ClO2)3,-0.5172297675
mp-11928,Pr2AlCo2,-0.18597026738126202
mp-1193321,AlPO5,-2.373477924948979
mp-1211743,KAlSe2,-1.377478732359374
mp-1253889,AlCr2O4,-2.171012378571429
mp-1259106,Al(WO2)2,-1.63895515642857
mp-1261118,Zr4AlNi2,0.122081189999999
mp-1272295,AlV2O4,-2.726905985714286
mp-1282714,AlV2O4,-2.756934711071428
mp-1384087,Al(SnO2)2,-1.8845501771428572
mp-1385641,AlV2O4,-2.220121135714286
mp-1390510,AlCr2O4,-2.127861677142857
mp-1391681,Al(CoO2)2,-1.714291212857143
mp-15254,Li3AlF6,-3.487262210833333
mp-17060,NaAlSe2,-1.229169387343748
mp-18347,KAlTe2,-0.963640327187501
mp-20816,Gd2AlGe2,-0.7376901869999991
mp-23720,BeAlH5,-0.133148387321428
mp-3751,AlTlF4,-3.2540289300000023
mp-541338,AlPO4,-3.108515839107142
mp-554185,AlPO4,-3.106197044732142
mp-672352,Al(ICl2)3,-1.08107135225
